id,retailerId,salesRepId,status,paymentMode,totalAmount,billNumber,remarks,gpsLatitude,gpsLongitude,originalCreatedAt,cancelledAt,createdAt,updatedAt
1,572,,Cancelled,Credit,27269.0,3,,0.0,0.0,2025-12-15 18:05:00,2025-12-15 18:05:00,2026-03-15 13:51:35,2026-03-15 13:51:35
2,226,,Cancelled,Credit,40307.0,84,,0.0,0.0,2025-12-17 10:20:00,2025-12-17 10:20:00,2026-03-15 13:51:35,2026-03-15 13:51:35
3,226,,Cancelled,Credit,35378.0,91,,0.0,0.0,2025-12-18 10:43:00,2025-12-18 10:43:00,2026-03-15 13:51:35,2026-03-15 13:51:35
4,572,,Cancelled,Credit,5557.0,92,,0.0,0.0,2025-12-18 12:19:00,2025-12-18 12:19:00,2026-03-15 13:51:35,2026-03-15 13:51:35
5,226,,Cancelled,Credit,34487.0,103,,0.0,0.0,2025-12-19 10:45:00,2025-12-19 10:45:00,2026-03-15 13:51:35,2026-03-15 13:51:35
6,226,,Cancelled,Credit,29344.0,107,,0.0,0.0,2025-12-20 10:47:00,2025-12-20 10:47:00,2026-03-15 13:51:35,2026-03-15 13:51:35
7,226,,Cancelled,Credit,33064.0,115,,0.0,0.0,2025-12-22 10:25:00,2025-12-22 10:25:00,2026-03-15 13:51:35,2026-03-15 13:51:35
8,226,,Cancelled,Credit,17416.0,129,,0.0,0.0,2025-12-23 10:49:00,2025-12-23 10:49:00,2026-03-15 13:51:36,2026-03-15 13:51:36
9,226,,Cancelled,Credit,26470.0,135,,0.0,0.0,2025-12-24 10:12:00,2025-12-24 10:12:00,2026-03-15 13:51:36,2026-03-15 13:51:36
10,226,,Cancelled,Credit,26069.0,144,,0.0,0.0,2025-12-25 10:33:00,2025-12-25 10:33:00,2026-03-15 13:51:36,2026-03-15 13:51:36
11,226,,Cancelled,Credit,26122.0,154,,0.0,0.0,2025-12-26 10:28:00,2025-12-26 10:28:00,2026-03-15 13:51:36,2026-03-15 13:51:36
12,226,,Cancelled,Credit,23962.0,162,,0.0,0.0,2025-12-27 10:45:00,2025-12-27 10:45:00,2026-03-15 13:51:36,2026-03-15 13:51:36
13,226,,Cancelled,Credit,8040.0,164,,0.0,0.0,2025-12-28 08:22:00,2025-12-28 08:22:00,2026-03-15 13:51:36,2026-03-15 13:51:36
14,226,,Cancelled,Credit,22966.0,168,,0.0,0.0,2025-12-29 10:28:00,2025-12-29 10:28:00,2026-03-15 13:51:36,2026-03-15 13:51:36
15,288,,Cancelled,Credit,10932.0,180,,0.0,0.0,2025-12-29 18:46:00,2025-12-29 18:46:00,2026-03-15 13:51:36,2026-03-15 13:51:36
16,561,,Cancelled,Credit,19435.0,181,,0.0,0.0,2025-12-31 13:52:00,2025-12-31 13:52:00,2026-03-15 13:51:36,2026-03-15 13:51:36
17,226,,Cancelled,Credit,3600.0,182,,0.0,0.0,2025-12-31 14:15:00,2025-12-31 14:15:00,2026-03-15 13:51:36,2026-03-15 13:51:36
18,226,,Cancelled,Credit,24030.0,185,,0.0,0.0,2025-12-31 14:23:00,2025-12-31 14:23:00,2026-03-15 13:51:36,2026-03-15 13:51:36
19,226,,Cancelled,Credit,23944.0,195,,0.0,0.0,2026-01-01 11:44:00,2026-01-01 11:44:00,2026-03-15 13:51:36,2026-03-15 13:51:36
20,226,,Cancelled,Credit,28246.0,205,,0.0,0.0,2026-01-02 10:42:00,2026-01-02 10:42:00,2026-03-15 13:51:36,2026-03-15 13:51:36
21,226,,Cancelled,Credit,27626.0,211,,0.0,0.0,2026-01-03 10:49:00,2026-01-03 10:49:00,2026-03-15 13:51:36,2026-03-15 13:51:36
22,572,,Cancelled,Credit,15489.0,212,,0.0,0.0,2026-01-03 11:18:00,2026-01-03 11:18:00,2026-03-15 13:51:36,2026-03-15 13:51:36
23,572,,Cancelled,Credit,6320.0,213,,0.0,0.0,2026-01-03 11:21:00,2026-01-03 11:21:00,2026-03-15 13:51:36,2026-03-15 13:51:36
24,226,,Cancelled,Credit,27812.0,235,,0.0,0.0,2026-01-05 10:28:00,2026-01-05 10:28:00,2026-03-15 13:51:36,2026-03-15 13:51:36
25,226,,Cancelled,Credit,30812.0,236,,0.0,0.0,2026-01-06 10:49:00,2026-01-06 10:49:00,2026-03-15 13:51:36,2026-03-15 13:51:36
26,226,,Cancelled,Credit,24542.0,259,,0.0,0.0,2026-01-07 10:30:00,2026-01-07 10:30:00,2026-03-15 13:51:36,2026-03-15 13:51:36
27,572,,Cancelled,Credit,23649.0,260,,0.0,0.0,2026-01-07 20:11:00,2026-01-07 20:11:00,2026-03-15 13:51:36,2026-03-15 13:51:36
28,226,,Cancelled,Credit,9120.0,272,,0.0,0.0,2026-01-09 10:55:00,2026-01-09 10:55:00,2026-03-15 13:51:36,2026-03-15 13:51:36
29,226,,Cancelled,Credit,8756.0,309,,0.0,0.0,2026-01-10 10:14:00,2026-01-10 10:14:00,2026-03-15 13:51:36,2026-03-15 13:51:36
30,226,,Cancelled,Credit,29826.0,329,,0.0,0.0,2026-01-12 11:14:00,2026-01-12 11:14:00,2026-03-15 13:51:36,2026-03-15 13:51:36
31,226,,Cancelled,Credit,21434.0,341,,0.0,0.0,2026-01-13 11:01:00,2026-01-13 11:01:00,2026-03-15 13:51:36,2026-03-15 13:51:36
