id,quantity,pricePerUnit,totalPrice,createdAt,updatedAt,orderId,productId,taxAmount,netAmount,productName
1,1.0,200.0,200.0,2025-12-15 00:00:00,2025-12-15 00:00:00,1,19,0.0,200.0,150 ML MIUXED FRUIT(30PCS) CASE
2,1.0,85.7,85.7,2025-12-15 00:00:00,2025-12-15 00:00:00,48,28,0.0,85.7,750ml INDEPENDENCE WATER (15PCS) CASE
3,1.0,114.3,114.3,2025-12-15 00:00:00,2025-12-15 00:00:00,48,30,0.0,114.3,1L a Sure water CASE
4,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,20,0.0,150.0,POWER UP 200ML (30PCS) CASE
5,8.0,10.7,85.7,2025-12-15 00:00:00,2025-12-15 00:00:00,47,14,0.0,85.7,COKE 500ML(24PCS) SINGLE
6,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,13,0.0,150.0,COKE 200ML(30PCS) CASE
7,8.0,10.7,85.7,2025-12-15 00:00:00,2025-12-15 00:00:00,47,7,0.0,85.7,500ML LEMON (24PCS) SINGLE
8,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,31,0.0,150.0,200ML PANNER SODA(30PCS) CASE
9,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,1,0.0,150.0,200ML ORANGE CASE
10,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,49,22,0.0,150.0,150ML STRAWBERRY KICK(30PCS) CASE
11,1.0,200.0,200.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,17,0.0,200.0,200ML MANGO (30PCS) CASE
12,1.0,150.0,150.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,22,0.0,150.0,150ML STRAWBERRY KICK(30PCS) CASE
13,1.0,200.0,200.0,2025-12-15 00:00:00,2025-12-15 00:00:00,47,19,0.0,200.0,150 ML MIUXED FRUIT(30PCS) CASE
14,1.0,142.9,142.9,2025-12-15 00:00:00,2025-12-15 00:00:00,46,13,0.0,142.9,COKE 200ML(30PCS) CASE
15,1.0,142.9,142.9,2025-12-15 00:00:00,2025-12-15 00:00:00,46,31,0.0,142.9,200ML PANNER SODA(30PCS) CASE
